ID,Author,average_rate,first_genre
941,Lloyd Alexander,,
942,Gail Carson Levine,,
943,George C. King,,
944,John Keats,,
945,Jonathan Swift,,
946,L. Frank Baum,,
947,Judith Arnopp,,
948,Geoffrey Chaucer,,
949,A.A. Milne,,
950,Brian Beam,,
951,Patrick Rothfuss,,
952,Terry Goodkind,,
953,Margaret Ball,,
954,Georgette Heyer,,
955,Connie Willis,,
956,Diana Gutiérrez,,
957,Enid Blyton,,
958,John Kennedy Toole,,
959,Pierre Louÿs,,
960,Henry Miller,,
961,Christine Nöstlinger,,
962,Eugène Ionesco,,
963,Maria Gripe,,
964,Michael Ende,,
965,Roald Dahl,,
966,Rocío Vega,,
967,Kameron Hurley,,
968,Andrej Sapkowski,,
969,Brian K. Vaughan,,
970,George RR Martin,,
971,Jordan Krall,,
972,J.G. Ballard,,
973,Brian Martinez,,
974,Craig Clevenger,,
975,Denis Johnson,,
976,Hunter S. Thompson,,
977,Carmen Amato,,
978,Donna Leon,,
979,Martin Cruz Smith,,
980,Ian Rankin,,
981,Pete Kahle,,
982,Jack L. Chalker,,
983,Chuck Wendig,,
984,China Miéville,,
985,Joe R. Lansdale,,
986,Robert E. Howard,,
987,Robert R. McCammon,,
988,Sarah Pinborough,,
989,Tim Curran,,
990,Kealan Patrick Burke,,
991,Brian Keene,,
992,James Newman,,
993,Andrew Lennon,,
994,Ryan C. Thomas,,
995,Connie Myres,,
996,Deana Farrady,,
997,Lisa M. Lilly,,
998,Minette Walters,,
999,Mari Naomi,,
1000,Cheryl Strayed,,
1001,Scott Russo,,
1002,Ariel Bordeaux,,
1003,Mary Fleener,,
1004,Sandra Rodriguez Barron,,
1005,Isabel Allende,,
1006,Snorri Kristjansson,,
1007,Joe Abercrombie,,
1008,Scott Lynch,,
1009,Andrea Johnson Beck,,
1010,E.E. Cummings,,
1011,Sasscer Hill,,
1012,Laurence Shames,3.76,fantasy
1013,Joseph Conrad,,
1014,Wolfgang Amadeus Mozart,,
1015,Charlie Chaplin,,
1016,Eric Coyote,,
1017,Quentin Tarantino,,
1018,Bob Dylan,,
1019,Barbara Hammet,,
1020,Jesse Jacobson,,
1022,Aislinn Kearns,,
1023,J.M.Madden,,
1024,Stuart David,,
1025,Jeanette Winterson,,
1026,Sarah Ockwell-Smith,,
1027,David Chamberlain,,
1028,Jean Liedloff,,
1029,Mary Ainsworth,,
1030,John Bowlby,,
1031,Bill Bowyer,,
1032,Marcus Aurelius,,
1033,Thomas Robert Malthus,,
1034,Joseph Campbell,,
1035,Abbie Hoffman,,
1036,Sun Tzu,,
1037,Montesquieu,,
1038,George Carlin,,
1039,Joseph de Maistre,,
1040,Sigmund Freud,,
1041,Epictetus,,
1042,Mahatma Gandhi,,
1043,Mason Engel,,
1044,Travis Luedke,,
1045,Sunny,,
1046,Laurell K. Hamilton,,
1047,Cindy Thomson,,
1048,Liz Curtis Higgs,,
1049,B.J. Hoff,,
1050,Stephen R. Lawhead,,
1051,Aubrie Dionne,,
1052,Sabrina Lacey,,
1053,Terry McMillan,,
1054,Candace Bushnell,,
1055,Helen Fielding,,
1056,Richard P. Denney,,
1057,Marilyn Monroe,,
1058,Augusten Burroughs,,
1059,John Bellairs,3.86,fantasy
1060,Stephen Seitz,,
1061,Ed McBain,,
1062,Arthur Conan Doyle,,
1063,Mark A. Cooper,,
1064,Richard J. Mouw,,
1065,Abraham Kuyper,,
1066,Amanda Lance,,
1067,Marquis de Sade,,
1068,Charles Bukowski,,
1069,Ann Radcliffe,,
1070,Kevin Rubio,,
1071,Dru Pagliassotti,,
1072,Michael Moorcock,,
1073,M.E. Harmon,,
1074,Laurel K. Hamilton,,
1075,Justin Cronin,,
1076,Yuri Andrukhovych,,
1077,Maik Johansen,,
1078,Bohdan-Ihor Antonych,,
